AEB rev09-26-25,flst,Sample_ID,Date,ID,Final_TA,TA _STD,,,,,
,13605_Set,13605_SettTrial_rnd1 b_titr8_20250910-183844.csv,2025-09-10 18:27:04 UTC-5,-19864478:193f4b89b71:1749,2876.508207,1.8,,,,,
,13606_Set,13606_SettTrial_rnd1 a_titr8_20250910-185122.csv,2025-09-10 18:38:45 UTC-5,-19864478:193f4b89b71:1758,3169.576075,0.0,,,,,
,13606_Set,13606_SettTrial_rnd1 b_titr8_20250910-190349.csv,2025-09-10 18:51:23 UTC-5,-19864478:193f4b89b71:1767,3165.994226,3.6,,,,,
,13607_Set,13607_SettTrial_rnd1 a_titr8_20250910-191711.csv,2025-09-10 19:03:50 UTC-5,-19864478:193f4b89b71:1776,3447.310912,0.0,,,,,
,13607_Set,13607_SettTrial_rnd1 b_titr8_20250910-193034.csv,2025-09-10 19:17:12 UTC-5,-19864478:193f4b89b71:1785,3445.544679,1.8,,,,,
,13610_Set,13610_SettTrial_rnd1 a_titr8_20250910-194047.csv,2025-09-10 19:30:35 UTC-5,-19864478:193f4b89b71:1794,2417.641886,0.0,,,,,
,13610_Set,13610_SettTrial_rnd1 b_titr8_20250910-195059.csv,2025-09-10 19:40:48 UTC-5,-19864478:193f4b89b71:17a3,2424.481397,6.8,,,,,
,13611_Set,13611_SettTrial_rnd1 a_titr8_20250910-200117.csv,2025-09-10 19:51:00 UTC-5,-19864478:193f4b89b71:17b2,2437.486742,0.0,,,,,
,13611_Set,13611_SettTrial_rnd1 b_titr8_20250910-201135.csv,2025-09-10 20:01:18 UTC-5,-19864478:193f4b89b71:17c1,2440.156197,2.7,,,,,
,13612_Set,13612_SettTrial_rnd1 a_titr8_20250910-202250.csv,2025-09-10 20:11:36 UTC-5,-19864478:193f4b89b71:17d0,2755.597618,0.0,,,,,
,13612_Set,13612_SettTrial_rnd1 b_titr8_20250910-203404.csv,2025-09-10 20:22:50 UTC-5,-19864478:193f4b89b71:17df,2752.936001,2.7,,,,,
,13613_Set,13613_SettTrial_rnd1 a_titr8_20250910-204625.csv,2025-09-10 20:34:05 UTC-5,-19864478:193f4b89b71:17ee,3147.30159,0.0,,,,,
,13613_Set,13613_SettTrial_rnd1 b_titr8_20250910-205845.csv,2025-09-10 20:46:26 UTC-5,-19864478:193f4b89b71:17fd,3144.568288,2.7,,,,,
,13614_Set,13614_SettTrial_rnd1 a_titr8_20250910-211142.csv,2025-09-10 20:58:46 UTC-5,-19864478:193f4b89b71:180c,3372.143144,0.0,,,,,
,13614_Set,13614_SettTrial_rnd1 b_titr8_20250910-212440.csv,2025-09-10 21:11:43 UTC-5,-19864478:193f4b89b71:181b,3372.762131,0.6,,,,,
,13615_Set,13615_SettTrial_rnd1 a_titr8_20250910-213538.csv,2025-09-10 21:24:41 UTC-5,-19864478:193f4b89b71:182a,2654.113507,0.0,,,,,
,13615_Set,13615_SettTrial_rnd1 b_titr8_20250910-214637.csv,2025-09-10 21:35:39 UTC-5,-19864478:193f4b89b71:1839,2660.662233,6.5,,,,,
,13616_Set,13616_SettTrial_rnd1 a_titr8_20250910-215957.csv,2025-09-10 21:46:38 UTC-5,-19864478:193f4b89b71:1848,3461.265123,0.0,,,,,
,13616_Set,13616_SettTrial_rnd1 b_titr8_20250910-221317.csv,2025-09-10 21:59:58 UTC-5,-19864478:193f4b89b71:1857,3468.151961,6.9,,,,,
,13617_Set,13617_SettTrial_rnd1 a_titr8_20250910-222454.csv,2025-09-10 22:13:17 UTC-5,-19864478:193f4b89b71:1866,2854.449497,0.0,,,,,
,13617_Set,13617_SettTrial_rnd1 b_titr8_20250910-223631.csv,2025-09-10 22:24:55 UTC-5,-19864478:193f4b89b71:1875,2857.629667,3.2,,,,,
,13618_Set,13618_SettTrial_rnd1 a_titr8_20250910-224804.csv,2025-09-10 22:36:32 UTC-5,-19864478:193f4b89b71:1884,2796.529946,0.0,,,,,
,13618_Set,13618_SettTrial_rnd1 b_titr8_20250910-225935.csv,2025-09-10 22:48:05 UTC-5,-19864478:193f4b89b71:1893,2794.762899,1.8,,,,,
,13627_Set,13627_SettTrial_rnd1 a_titr8_20250910-231119.csv,2025-09-10 22:59:36 UTC-5,-19864478:193f4b89b71:18a2,2852.197625,0.0,,,,,
,13627_Set,13627_SettTrial_rnd1 b_titr8_20250910-232303.csv,2025-09-10 23:11:20 UTC-5,-19864478:193f4b89b71:18b1,2854.404379,2.2,,,,,
,13628_Set,13628_SettTrial_rnd1 a_titr8_20250910-233438.csv,2025-09-10 23:23:04 UTC-5,-19864478:193f4b89b71:18c0,2815.726031,0.0,,,,,
,13628_Set,13628_SettTrial_rnd1 b_titr8_20250910-234615.csv,2025-09-10 23:34:39 UTC-5,-19864478:193f4b89b71:18cf,2813.119784,2.6,,,,,
,13621_Set,13621_SettTrial_rnd1 a_titr8_20250910-235802.csv,2025-09-10 23:46:16 UTC-5,-19864478:193f4b89b71:18de,2859.96388,0.0,,,,,
,13621_Set,13621_SettTrial_rnd1 b_titr8_20250911-000947.csv,2025-09-10 23:58:03 UTC-5,-19864478:193f4b89b71:18ed,2858.430399,1.5,,,,,
,13622_Set,13622_SettTrial_rnd1 a_titr8_20250911-002134.csv,2025-09-11 00:09:48 UTC-5,-19864478:193f4b89b71:18fc,2851.344321,0.0,,,,,
,13622_Set,13622_SettTrial_rnd1 b_titr8_20250911-003309.csv,2025-09-11 00:21:35 UTC-5,-19864478:193f4b89b71:190b,2850.537009,0.8,,,,,
,13623_Set,13623_SettTrial_rnd1 a_titr8_20250911-004442.csv,2025-09-11 00:33:10 UTC-5,-19864478:193f4b89b71:191a,2814.909828,0.0,,,,,
,13623_Set,13623_SettTrial_rnd1 b_titr8_20250911-005616.csv,2025-09-11 00:44:43 UTC-5,-19864478:193f4b89b71:1929,2814.890765,0.0,,,,,
,13624_Set,13624_SettTrial_rnd1 a_titr8_20250911-010855.csv,2025-09-11 00:56:17 UTC-5,-19864478:193f4b89b71:1938,3170.458122,0.0,,,,,
,13624_Set,13624_SettTrial_rnd1 b_titr8_20250911-012129.csv,2025-09-11 01:08:56 UTC-5,-19864478:193f4b89b71:1947,3167.089452,3.4,,,,,
,13625_Set,13625_SettTrial_rnd1 a_titr8_20250911-013404.csv,2025-09-11 01:21:29 UTC-5,-19864478:193f4b89b71:1956,3165.281328,0.0,,,,,
,13625_Set,13625_SettTrial_rnd1 b_titr8_20250911-014640.csv,2025-09-11 01:34:05 UTC-5,-19864478:193f4b89b71:1965,3164.294002,1.0,,,,,
,13626_Set,13626_SettTrial_rnd1 a_titr8_20250911-015912.csv,2025-09-11 01:46:41 UTC-5,-19864478:193f4b89b71:1974,3153.142987,0.0,,,,,
,13626_Set,13626_SettTrial_rnd1 b_titr8_20250911-021147.csv,2025-09-11 01:59:13 UTC-5,-19864478:193f4b89b71:1983,3156.740542,3.6,,,,,
,13630_Set,13630_SettTrial_rnd1 a_titr8_20250911-022407.csv,2025-09-11 02:11:48 UTC-5,-19864478:193f4b89b71:1992,3115.612649,0.0,,,,,
,13630_Set,13630_SettTrial_rnd1 b_titr8_20250911-023629.csv,2025-09-11 02:24:08 UTC-5,-19864478:193f4b89b71:19a1,3119.585311,4.0,,,,,
,13629_Set,13629_SettTrial_rnd1 a_titr8_20250911-024859.csv,2025-09-11 02:36:30 UTC-5,-19864478:193f4b89b71:19b0,3172.1495,0.0,,,,,
,13629_Set,13629_SettTrial_rnd1 b_titr8_20250911-030129.csv,2025-09-11 02:49:00 UTC-5,-19864478:193f4b89b71:19bf,3173.781276,1.6,,,,,
,13620_Set,13620_SettTrial_rnd1 a_titr8_20250911-031349.csv,2025-09-11 03:01:30 UTC-5,-19864478:193f4b89b71:19ce,3130.181374,0.0,,,,,
,13620_Set,13620_SettTrial_rnd1 b_titr8_20250911-032610.csv,2025-09-11 03:13:50 UTC-5,-19864478:193f4b89b71:19dd,3129.839673,0.3,,,,,
,13619_Set,13619_SettTrial_rnd1 a_titr8_20250911-033832.csv,2025-09-11 03:26:11 UTC-5,-19864478:193f4b89b71:19ec,3142.269677,0.0,,,,,
,13619_Set,13619_SettTrial_rnd1 b_titr8_20250911-035053.csv,2025-09-11 03:38:33 UTC-5,-19864478:193f4b89b71:19fb,3141.762448,0.5,,,,,
,13631_Set,13631_SettTrial_rnd1 a_titr8_20250911-040404.csv,2025-09-11 03:50:54 UTC-5,-19864478:193f4b89b71:1a0a,3404.577075,0.0,,,,,
,13631_Set,13631_SettTrial_rnd1 b_titr8_20250911-041716.csv,2025-09-11 04:04:05 UTC-5,-19864478:193f4b89b71:1a19,3405.791556,1.2,,,,,
,13632_Set,13632_SettTrial_rnd1 a_titr8_20250911-043040.csv,2025-09-11 04:17:17 UTC-5,-19864478:193f4b89b71:1a28,3425.146149,0.0,,,,,
,13632_Set,13632_SettTrial_rnd1 b_titr8_20250911-044405.csv,2025-09-11 04:30:41 UTC-5,-19864478:193f4b89b71:1a37,3423.187534,2.0,,,,,
,13633_Set,13633_SettTrial_rnd1 a_titr8_20250911-045731.csv,2025-09-11 04:44:06 UTC-5,-19864478:193f4b89b71:1a46,3442.86284,0.0,,,,,
,13633_Set,13633_SettTrial_rnd1 b_titr8_20250911-051059.csv,2025-09-11 04:57:32 UTC-5,-19864478:193f4b89b71:1a55,3444.176299,1.3,,,,,
,13634_Set,13634_SettTrial_rnd1 a_titr8_20250911-052429.csv,2025-09-11 05:11:00 UTC-5,-19864478:193f4b89b71:1a64,3457.398906,0.0,,,,,
,13634_Set,13634_SettTrial_rnd1 b_titr8_20250911-053756.csv,2025-09-11 05:24:30 UTC-5,-19864478:193f4b89b71:1a73,3454.763663,2.6,,,,,
,13635_Set,13635_SettTrial_rnd1 a_titr8_20250911-055122.csv,2025-09-11 05:37:57 UTC-5,-19864478:193f4b89b71:1a82,3432.22323,0.0,,,,,
,13635_Set,13635_SettTrial_rnd1 b_titr8_20250911-060451.csv,2025-09-11 05:51:23 UTC-5,-19864478:193f4b89b71:1a91,3434.088401,1.9,,,,,
,13636_Set,13636_SettTrial_rnd1 a_titr8_20250911-061819.csv,2025-09-11 06:04:52 UTC-5,-19864478:193f4b89b71:1aa0,3441.658202,0.0,,,,,
,13636_Set,13636_SettTrial_rnd1 b_titr8_20250911-063147.csv,2025-09-11 06:18:20 UTC-5,-19864478:193f4b89b71:1aaf,3444.144992,2.5,,,,,
,13637_Set,13637_SettTrial_rnd1 a_titr8_20250911-064521.csv,2025-09-11 06:31:48 UTC-5,-19864478:193f4b89b71:1abe,3472.44779,0.0,,,,,
,13637_Set,13637_SettTrial_rnd1 b_titr8_20250911-065852.csv,2025-09-11 06:45:22 UTC-5,-19864478:193f4b89b71:1acd,3471.907942,0.5,,,,,
,13638_Set,13638_SettTrial_rnd1 a_titr8_20250911-071300.csv,2025-09-11 06:58:53 UTC-5,-19864478:193f4b89b71:1adc,3722.143178,0.0,,,,,
,13638_Set,13638_SettTrial_rnd1 b_titr8_20250911-072651.csv,2025-09-11 07:13:01 UTC-5,-19864478:193f4b89b71:1aeb,3717.715312,4.4,,,,,
,13639_Set,13639_SettTrial_rnd1 a_titr8_20250911-074056.csv,2025-09-11 07:26:52 UTC-5,-19864478:193f4b89b71:1afa,3686.017126,0.0,,,,,
,13639_Set,13639_SettTrial_rnd1 b_titr8_20250911-075458.csv,2025-09-11 07:40:57 UTC-5,-19864478:193f4b89b71:1b09,3685.873205,0.1,,,,,
,13640_Set,13640_SettTrial_rnd1 a_titr8_20250911-080902.csv,2025-09-11 07:54:59 UTC-5,-19864478:193f4b89b71:1b18,3701.746463,0.0,,,,,
,13640_Set,13640_SettTrial_rnd1 b_titr8_20250911-082304.csv,2025-09-11 08:09:03 UTC-5,-19864478:193f4b89b71:1b27,3702.138622,0.4,,,,,
,13641_Set,13641_SettTrial_rnd1 a_titr8_20250911-083655.csv,2025-09-11 08:23:05 UTC-5,-19864478:193f4b89b71:1b36,3641.675461,0.0,,,,,
,13641_Set,13641_SettTrial_rnd1 b_titr8_20250911-085051.csv,2025-09-11 08:36:56 UTC-5,-19864478:193f4b89b71:1b45,3646.089114,4.4,,,,,
,13642_Set,13642_SettTrial_rnd1 a_titr8_20250911-090455.csv,2025-09-11 08:50:52 UTC-5,-19864478:193f4b89b71:1b54,3709.027977,0.0,,,,,
,13642_Set,13642_SettTrial_rnd1 b_titr8_20250911-091859.csv,2025-09-11 09:04:56 UTC-5,-19864478:193f4b89b71:1b63,3706.75655,2.3,,,,,
,13643_Set,13643_SettTrial_rnd1 a_titr8_20250911-093308.csv,2025-09-11 09:19:00 UTC-5,-19864478:193f4b89b71:1b72,3705.177645,0.0,,,,,
,13643_Set,13643_SettTrial_rnd1 b_titr8_20250911-094716.csv,2025-09-11 09:33:08 UTC-5,-19864478:193f4b89b71:1b81,3707.512089,2.3,,,,,
,13644_Set,13644_SettTrial_rnd1 a_titr8_20250911-100129.csv,2025-09-11 09:47:17 UTC-5,-19864478:193f4b89b71:1b90,3700.561622,0.0,,,,,
,13644_Set,13644_SettTrial_rnd1 b_titr8_20250911-101543.csv,2025-09-11 10:01:30 UTC-5,-19864478:193f4b89b71:1b9f,3700.629002,0.1,,,,,
,13645_Set,13645_SettTrial_rnd1 a_titr8_20250911-102642.csv,2025-09-11 10:15:44 UTC-5,-19864478:193f4b89b71:1bae,2589.601419,0.0,,,,,
,13645_Set,13645_SettTrial_rnd1 b_titr8_20250911-103736.csv,2025-09-11 10:26:43 UTC-5,-19864478:193f4b89b71:1bbd,2598.115221,8.5,,,,,
,13646_Set,13646_SettTrial_rnd2 a_titr8_20250912-142448.csv,2025-09-12 14:11:42 UTC-5,-19864478:193f4b89b71:1d8b,3306.988466,0.00,,,,,
,13646_Set,13646_SettTrial_rnd2 b_titr8_20250912-143759.csv,2025-09-12 14:24:48 UTC-5,-19864478:193f4b89b71:1d9a,3314.270975,7.28,,,,,
,13647_Set,13647_SettTrial_rnd2 a_titr8_20250912-144915.csv,2025-09-12 14:38:00 UTC-5,-19864478:193f4b89b71:1da9,2702.466442,0.00,,,,,
,13647_Set,13647_SettTrial_rnd2 b_titr8_20250912-150035.csv,2025-09-12 14:49:16 UTC-5,-19864478:193f4b89b71:1db8,2700.31086,2.16,,,,,
,13648_Set,13648_SettTrial_rnd2 a_titr8_20250912-151205.csv,2025-09-12 15:00:36 UTC-5,-19864478:193f4b89b71:1dc7,2752.975901,0.00,,,,,
,13648_Set,13648_SettTrial_rnd2 b_titr8_20250912-152332.csv,2025-09-12 15:12:05 UTC-5,-19864478:193f4b89b71:1dd6,2752.853677,0.12,,,,,
,13649_Set,13649_SettTrial_rnd2 a_titr8_20250912-153450.csv,2025-09-12 15:23:33 UTC-5,-19864478:193f4b89b71:1de5,2713.222386,0.00,,,,,
,13649_Set,13649_SettTrial_rnd2 b_titr8_20250912-154610.csv,2025-09-12 15:34:51 UTC-5,-19864478:193f4b89b71:1df4,2715.38746,2.17,,,,,
,13650_Set,13650_SettTrial_rnd2 a_titr8_20250912-155743.csv,2025-09-12 15:46:10 UTC-5,-19864478:193f4b89b71:1e03,2791.270624,0.00,,,,,
,13650_Set,13650_SettTrial_rnd2 b_titr8_20250912-160919.csv,2025-09-12 15:57:44 UTC-5,-19864478:193f4b89b71:1e12,2792.94856,1.68,,,,,
,13651_Set,13651_SettTrial_rnd2 a_titr8_20250912-162141.csv,2025-09-12 16:09:20 UTC-5,-19864478:193f4b89b71:1e21,3053.031663,0.00,,,,,
,13651_Set,13651_SettTrial_rnd2 b_titr8_20250912-163401.csv,2025-09-12 16:21:42 UTC-5,-19864478:193f4b89b71:1e30,3049.553741,3.48,,,,,
,13652_Set,13652_SettTrial_rnd2 a_titr8_20250912-164613.csv,2025-09-12 16:34:02 UTC-5,-19864478:193f4b89b71:1e3f,3024.780773,0.00,,,,,
,13652_Set,13652_SettTrial_rnd2 b_titr8_20250912-165822.csv,2025-09-12 16:46:14 UTC-5,-19864478:193f4b89b71:1e4e,3024.24947,0.53,,,,,
,13653_Set,13653_SettTrial_rnd2 a_titr8_20250912-171039.csv,2025-09-12 16:58:23 UTC-5,-19864478:193f4b89b71:1e5d,3044.699947,0.00,,,,,
,13653_Set,13653_SettTrial_rnd2 b_titr8_20250912-172254.csv,2025-09-12 17:10:40 UTC-5,-19864478:193f4b89b71:1e6c,3042.646335,2.05,,,,,
,13654_Set,13654_SettTrial_rnd2 a_titr8_20250912-173500.csv,2025-09-12 17:22:55 UTC-5,-19864478:193f4b89b71:1e7b,3006.593346,0.00,,,,,
,13654_Set,13654_SettTrial_rnd2 b_titr8_20250912-174706.csv,2025-09-12 17:35:01 UTC-5,-19864478:193f4b89b71:1e8a,3008.346707,1.75,,,,,
,13655_Set,13655_SettTrial_rnd2 a_titr8_20250912-175907.csv,2025-09-12 17:47:07 UTC-5,-19864478:193f4b89b71:1e99,3025.588399,0.00,,,,,
,13655_Set,13655_SettTrial_rnd2 b_titr8_20250912-181109.csv,2025-09-12 17:59:08 UTC-5,-19864478:193f4b89b71:1ea8,3026.13533,0.55,,,,,
,13656_Set,13656_SettTrial_rnd2 a_titr8_20250912-182349.csv,2025-09-12 18:11:10 UTC-5,-19864478:193f4b89b71:1eb7,3239.604668,0.00,,,,,
,13656_Set,13656_SettTrial_rnd2 b_titr8_20250912-183627.csv,2025-09-12 18:23:50 UTC-5,-19864478:193f4b89b71:1ec6,3237.365281,2.24,,,,,
,13657_Set,13657_SettTrial_rnd2 a_titr8_20250912-184915.csv,2025-09-12 18:36:28 UTC-5,-19864478:193f4b89b71:1ed5,3286.617856,0.00,,,,,
,13657_Set,13657_SettTrial_rnd2 b_titr8_20250912-190205.csv,2025-09-12 18:49:16 UTC-5,-19864478:193f4b89b71:1ee4,3290.386059,3.77,,,,,
,13658_Set,13658_SettTrial_rnd2 a_titr8_20250912-191504.csv,2025-09-12 19:02:05 UTC-5,-19864478:193f4b89b71:1ef3,3318.809251,0.00,,,,,
,13658_Set,13658_SettTrial_rnd2 b_titr8_20250912-192805.csv,2025-09-12 19:15:05 UTC-5,-19864478:193f4b89b71:1f02,3318.578497,0.23,,,,,
,13659_Set,13659_SettTrial_rnd2 a_titr8_20250912-194116.csv,2025-09-12 19:28:06 UTC-5,-19864478:193f4b89b71:1f11,3362.065178,0.00,,,,,
,13659_Set,13659_SettTrial_rnd2 b_titr8_20250912-195426.csv,2025-09-12 19:41:17 UTC-5,-19864478:193f4b89b71:1f20,3362.40081,0.34,,,,,
,13660_Set,13660_SettTrial_rnd2 a_titr8_20250912-200728.csv,2025-09-12 19:54:27 UTC-5,-19864478:193f4b89b71:1f2f,3316.54269,0.00,,,,,
,13660_Set,13660_SettTrial_rnd2 b_titr8_20250912-202029.csv,2025-09-12 20:07:29 UTC-5,-19864478:193f4b89b71:1f3e,3312.850014,3.69,,,,,
,13661_Set,13661_SettTrial_rnd2 a_titr8_20250912-203332.csv,2025-09-12 20:20:30 UTC-5,-19864478:193f4b89b71:1f4d,3336.186722,0.00,,,,,
,13661_Set,13661_SettTrial_rnd2 b_titr8_20250912-204636.csv,2025-09-12 20:33:33 UTC-5,-19864478:193f4b89b71:1f5c,3333.038322,3.15,,,,,
,13662_Set,13662_SettTrial_rnd2 a_titr8_20250912-210010.csv,2025-09-12 20:46:36 UTC-5,-19864478:193f4b89b71:1f6b,3501.608475,0.00,,,,,
,13662_Set,13662_SettTrial_rnd2 b_titr8_20250912-211344.csv,2025-09-12 21:00:11 UTC-5,-19864478:193f4b89b71:1f7a,3500.038656,1.57,,,,,
,13663_Set,13663_SettTrial_rnd2 a_titr8_20250912-212730.csv,2025-09-12 21:13:45 UTC-5,-19864478:193f4b89b71:1f89,3521.489543,0.00,,,,,
,13663_Set,13663_SettTrial_rnd2 b_titr8_20250912-214116.csv,2025-09-12 21:27:31 UTC-5,-19864478:193f4b89b71:1f98,3521.621224,0.13,,,,,
,13664_Set,13664_SettTrial_rnd2 a_titr8_20250912-215453.csv,2025-09-12 21:41:17 UTC-5,-19864478:193f4b89b71:1fa7,3485.689958,0.00,,,,,
,13664_Set,13664_SettTrial_rnd2 b_titr8_20250912-220832.csv,2025-09-12 21:54:54 UTC-5,-19864478:193f4b89b71:1fb6,3488.3819,2.69,,,,,
,13665_Set,13665_SettTrial_rnd2 a_titr8_20250912-222222.csv,2025-09-12 22:08:33 UTC-5,-19864478:193f4b89b71:1fc5,3537.405472,0.00,,,,,
,13665_Set,13665_SettTrial_rnd2 b_titr8_20250912-223613.csv,2025-09-12 22:22:23 UTC-5,-19864478:193f4b89b71:1fd4,3537.697121,0.29,,,,,
,Nash1 a_t,Nash1 a_titr8_20250912-224456.csv,2025-09-12 22:36:14 UTC-5,-19864478:193f4b89b71:1fe3,1768.819574,0.00,,,,,
,Nash1 b_t,Nash1 b_titr8_20250912-225333.csv,2025-09-12 22:44:57 UTC-5,-19864478:193f4b89b71:1ff2,1779.664528,10.84,,,,,
,Nash2 a_t,Nash2 a_titr8_20250912-230210.csv,2025-09-12 22:53:34 UTC-5,-19864478:193f4b89b71:2001,1770.615069,0.00,,,,,
,Nash2 b_t,Nash2 b_titr8_20250912-231048.csv,2025-09-12 23:02:11 UTC-5,-19864478:193f4b89b71:2010,1771.488308,0.87,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
